famid,perid,faid,moid,sex,trait
Y038,NA19179,0,0,2,4
Y052,NA19182,0,0,2,3
Y057,NA19226,0,0,1,3
Y057,NA19225,0,0,2,2
Y111,NA19189,0,0,1,4
Y003,NA18498,0,0,1,4
Y100,NA19118,0,0,2,4
Y006,NA19107,0,0,1,1
Y010,NA18510,0,0,1,3
Y010,NA18511,0,0,2,4
Y033,NA18923,0,0,1,4
Y073,NA19150,0,0,1,4
Y027,NA18910,0,0,1,2
Y019,NA18873,0,0,2,4
Y005,NA18505,0,0,2,4
Y117,NA19239,0,0,1,4
Y004,NA18501,0,0,1,1
Y043,NA19137,0,0,2,4
Y072,NA19153,0,0,1,4
Y058,NA19223,0,0,1,4
Y024,NA18861,0,0,2,2
Y045,NA19201,0,0,2,4
Y074,NA19144,0,0,1,4
Y112,NA19193,0,0,2,3
Y005,NA18504,0,0,1,4
Y048,NA19203,0,0,1,3
Y074,NA19143,0,0,2,3
Y017,NA18871,0,0,1,4
Y017,NA18870,0,0,2,4
Y045,NA19200,0,0,1,4
Y013,NA18517,0,0,2,4
Y023,NA18855,0,0,2,4
Y050,NA19209,0,0,2,4
Y056,NA19160,0,0,1,1
Y072,NA19152,0,0,2,4
Y042,NA19102,0,0,2,4
Y047,NA19172,0,0,2,4
Y117,NA19238,0,0,2,4
Y028,NA18913,0,0,1,4
Y028,NA18912,0,0,2,4
Y058,NA19222,0,0,2,4
Y009,NA18508,0,0,2,4
Y043,NA19138,0,0,1,2
Y018,NA18852,0,0,2,4
Y050,NA19210,0,0,1,2
Y048,NA19204,0,0,2,4
Y009,NA18507,0,0,1,4
Y056,NA19159,0,0,2,4
Y013,NA18516,0,0,1,2
Y024,NA18862,0,0,1,2
Y042,NA19101,0,0,1,4
Y112,NA19192,0,0,1,2
Y012,NA18858,0,0,2,3
Y071,NA19141,0,0,1,3
Y040,NA19093,0,0,2,4
Y051,NA19206,0,0,2,2
Y105,NA19098,0,0,1,3
Y101,NA19130,0,0,1,4
Y077,NA19128,0,0,1,4
Y101,NA19131,0,0,2,4
Y060,NA19116,0,0,2,4
Y077,NA19127,0,0,2,4
Y018,NA18853,0,0,1,2
Y047,NA19171,0,0,1,4
Y071,NA19140,0,0,2,3
Y012,NA18859,0,0,1,4
Y060,NA19119,0,0,1,3
Y051,NA19207,0,0,1,4
Y105,NA19099,0,0,2,4
